NAME,URL,Job,Person,Year
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Administrateur,J. de Bussière,1927
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Administrateur,Victor N. Siègel,1927
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Président,Victor N. Siègel,1933
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Administrateur,Charles Martin(1),1933
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Administrateur,H. Brard,1933
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Administrateur,H. Duboc,1933
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Administrateur,M. Perrodon,1933
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Administrateur,A. Delacour,1940
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Administrateur,Charles Martin(1),1940
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Administrateur,H. Duboc,1940
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Administrateur,M. Poinet,1940
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Administrateur,Victor N. Siègel,1940
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Vice-Président,Charles Martin(1),1945
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Administrateur,Albert Gallay,1945
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Administrateur,S. Combemale,1945
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Vice-Président,Charles Martin(1),1948
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Administrateur,Albert Gallay,1948
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Administrateur,J. Comibemalle,1948
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Commissaire des comptes,A. Delacour,1948
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Président,V. Siégel,1953
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Vice-Président,Charles Martin(1),1953
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Administrateur,P. Ravault,1953
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Administrateur,R. Hadrot,1953
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Administrateur,R. Lacarrière,1953
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Administrateur,Raymond Rivière,1953
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Commissaire des comptes,M. Poinet,1953
Anciens Etablissements Siegel et Stockman Réunis,https://dfih.fr/issuers/4334,Commissaire des comptes,R. Dolle,1953
Banque d'Orient,https://dfih.fr/issuers/1247,Administrateur,Castelbalognesi,1912
Banque d'Orient,https://dfih.fr/issuers/1247,Administrateur,Dacosta,1912
Banque d'Orient,https://dfih.fr/issuers/1247,Administrateur,Hamburger,1912
Banque d'Orient,https://dfih.fr/issuers/1247,Administrateur,Loehr,1912
Banque d'Orient,https://dfih.fr/issuers/1247,Administrateur,Mosevius,1912
Banque d'Orient,https://dfih.fr/issuers/1247,Administrateur,Stephanos 'Etienne' Eustace Eugénidis,1912
Banque d'Orient,https://dfih.fr/issuers/1247,Administrateur,Valaority,1912
Banque d'Orient,https://dfih.fr/issuers/1247,Administrateur,Athanasaki,1917
Banque d'Orient,https://dfih.fr/issuers/1247,Administrateur,Castelbolognesi,1917
